timestep,result
12408000,-216.43071377277374
12420000,-22.287552915513515
12432000,-184.5948586165905
12444000,-182.97725209593773
12456000,-199.92025515437126
12468000,-160.39019943773746
12480000,-20.188760302960873
12492000,-125.1828643977642
12504000,-179.2130929455161
12516000,-69.33161433041096
12528000,-219.53889370709658
12540000,-207.30163052678108
12552000,-180.6332793533802
12564000,-115.40826176851988
12576000,-274.7044213116169
12588000,-157.4191976711154
12600000,-709.9713057875633
12612000,-66.85660676658154
12624000,-654.7677583694458
12636000,-227.23207077383995
12648000,-108.02371457964182
12660000,-187.89923967421055
12672000,-201.63189110159874
12684000,-331.27496998012066
12696000,-131.5057685635984
12708000,-306.81476935744286
12720000,-310.99497279524803
12732000,-121.36541713029146
12744000,-160.56834480166435
12756000,-368.1993601322174
12768000,-41.700287252664566
12780000,-231.19983902573586
12792000,-205.94365265965462
12804000,-151.34164757281542
12816000,-17.336024444550276
12828000,-244.61879670619965
12840000,-112.09568311274052
12852000,-141.9937443137169
12864000,-426.9727658033371
12876000,-176.3702343478799
12888000,-271.19151328131557
12900000,-303.5928291082382
12912000,10.113377898931503
12924000,-65.06563851237297
12936000,-69.51915065199137
12948000,-45.855097245424986
12960000,-395.1720021367073
12972000,-73.28043288737535
12984000,-57.92004457861185
12996000,-63.02354694902897
13008000,-96.35285450518131
